Project Name,Assignee,Deliverable Checklist,Developer/Sales,KYC,Notes,Onboarding Status,Project Status,Release Date,Services,Units
Anthem Properties Group - Billy Ph 2,Roell Pereira,,,"KNOW YOUR CLIENT (KYC)/WHAT'S IMPORTANT NOW (WIN)

General Project Details
Product Type: Avesdo TMS Platform
Deal Value: $0
Province: British Columbia
# of Homes: 11
Deal Owner: Steve Curtis
Account Manager: Sales Advisor (Sammy, Steve, Sandor, Patrick)
Initial Launch Date: 2023-10-20
Development Proposal Stage: 
Sales/Marketing Company: In-House

Contact Details
Onboarding Contact: N/A
First time using Avesdo? No
Customer Type: Developer
Is onboarding contact new to Avesdo? No - Existing customer (familiar with full platform)

Set-Up Details
Trust Account Required: No
Selling in phases? Yes
Unit Breakout: Towns I believe
Project Set-Up: Grid view (Townhomes)
Setting up Leads? No
Setting up Worksheets? No
If using Worksheets, when does the client want to start using this feature? N/A
Setting up Sales Grid? No
Setting up Contracts? Yes
Setting up Closings? No
CRM/Lead Ingestion: Hubspot
API/Reporting Requirements: Yes, enterprise tier
Related Projects/Relevant Info: 

Client Goals/Other Information
Competitors, CRMs, other software being used? Hubspot
Why Buy/Challenges we are solving: N/A
What is client's goal from Avesdo? N/A
Why Avesdo? N/A
Red Flags/Risks/Potential Roadblocks: 

Test Site set up during Pre-Sales?:

**CS** - REFER TO HUBSPOT DEAL NOTES FOR SET UP SPECIFICS.

Notes
Other Special Customer-Related Notes: ",,Released,Released,01-Nov-23,,11
Amson Bloc - Amson Group/MLA,Roell Pereira,,,"KNOW YOUR CLIENT (KYC)/WHAT'S IMPORTANT NOW (WIN)

General Project Details
Product Type: 
Deal Value: 
Province: British Columbia
# of Homes: 121
Deal Owner: Steve Curtis
Account Manager: Sales Advisor (Sammy, Steve, Sandor, Patrick)
Initial Launch Date: 2024-02-23
Development Proposal Stage: 
Sales/Marketing Company: MLA

Contact Details
Onboarding Contact: Hayley Lilburn
First time using Avesdo? 
Customer Type: 
Is onboarding contact new to Avesdo? No - Existing customer (familiar with full platform)

Set-Up Details
Trust Account Required: 
Selling in phases? 
Unit Breakout: 
Project Set-Up: 
Setting up Leads? 
Setting up Worksheets? 
If using Worksheets, when does the client want to start using this feature? 
Setting up Sales Grid? 
Setting up Contracts? 
Setting up Closings? 
CRM/Lead Ingestion: 
API/Reporting Requirements: 
Related Projects/Relevant Info: 

Client Goals/Other Information
Competitors, CRMs, other software being used? 
Why Buy/Challenges we are solving: 
What is client's goal from Avesdo? 
Why Avesdo? 
Red Flags/Risks/Potential Roadblocks: 

Test Site set up during Pre-Sales?:

**CS** - REFER TO HUBSPOT DEAL NOTES FOR SET UP SPECIFICS.

Notes
Other Special Customer-Related Notes: ",,Released,Released,22-Mar-24,,121
Ironclad Developments - Centennial Court Building 1,Roell Pereira,,,"Product Type: Avesdo TMS Platform
Trust Account Required: No
Deal Value: $59,675
Initial Launch Date: 2022-08-05
Province: British Columbia


KYC Survey:
Deal Owner: Sammy Wong
# of Homes: 155 (Phase 1 - 73 units)
Initial Launch Date: 2022-08-05
Onboarding Contact: Paul Lin
First time using Avesdo? Yes
Competitors, CRMs, other software being used? Lasso
Current process outside Avesdo? Paper
Major problems we're solving? All in one platform
What does success mean for the client? All in one platform
Additional comments: ",,Released,Released,16-Nov-22,,73
Adera - SoL,,,,"KNOW YOUR CLIENT (KYC)/WHAT'S IMPORTANT NOW (WIN)

General Project Details
Product Type: Avesdo TMS Platform
Deal Value: $39,560
Province: British Columbia
# of Homes: 92
Deal Owner: Steve Curtis
Initial Launch Date: 2022-09-23
Development Proposal Stage: 
Sales/Marketing Company: In-House

Contact Details
Onboarding Contact: Nina Worby
First time using Avesdo? No
Customer Type: Developer
Is onboarding contact new to Avesdo? No - Existing customer (familiar with full platform)

Set-Up Details
Trust Account Required: No
Selling in phases? No
Unit Breakout: Hi rise
Project Set-Up: Grid view (Condo Tower)
Setting up Leads? No
Setting up Worksheets? No
If using Worksheets, when does the client want to start using this feature? N/A
Setting up Sales Grid? No
Setting up Contracts? Yes
Setting up Closings? No
CRM/Lead Ingestion: Not sure
API/Reporting Requirements: None
Related Projects/Relevant Info: 

Client Goals/Other Information
Competitors, CRMs, other software being used? Not sure
Why Buy/Challenges we are solving: Avesdo client
What is client's goal from Avesdo? They would like project set up to start at the end of August/first week of September.
Why Avesdo? They love our digital contracting tool
Red Flags/Risks/Potential Roadblocks: 

Test Site set up during Pre-Sales?:
No
**CS** - REFER TO HUBSPOT DEAL NOTES FOR SET UP SPECIFICS.

Notes
Other Special Customer-Related Notes: They may use allocations/offplan. This deal was put together quickly and we weren't able to have a detailed conversation on it. My gut feeling is they won't as they want to get to market but I know it's something we did for Brittania Beach but I'm not sure if they used it or not. If they ask for it on the onboarding please let me know so I can get the trust account set up.",,Released,Released,05-Oct-22,,92
Dylan 1,Rashi Gupta,,BM Group/Breakside,"KNOW YOUR CLIENT (KYC)/WHAT'S IMPORTANT NOW (WIN)

General Project Details
Product Type: Avesdo TMS Platform
Deal Value: $24,180.00
Province: British Columbia
# of Homes: 62
Deal Owner: Steve Curtis
Account Manager: Sales Advisor (Sammy, Steve, Sandor, Patrick)
Initial Launch Date: 2024-10-11
Sales/Marketing Company: Breakside

Contact Details
Onboarding Contact: Amy Rebedos
Onboarding Contact Email: 

Set-Up Details
Credit Cards? No
Avesdo Deposits? Yes
Project Set-Up: 
Setting up Leads? No
Setting up Worksheets? No
If using Worksheets, when does the client want to start using this feature? 
Setting up Sales Grid? Yes
CRM/Lead Ingestion: Not sure
API/Reporting Requirements: I don't believe so

Notes
Other Special Customer-Related Notes: ",,Onboarding Email Sent,Not started,,,62
The Stand,Rashi Gupta,,Park R Development Group/Breakside,"KNOW YOUR CLIENT (KYC)/WHAT'S IMPORTANT NOW (WIN)

General Project Details
Product Type: Avesdo TMS Platform
Deal Value: $53,410.00
Province: British Columbia
# of Homes: 109
Deal Owner: Steve Curtis
Account Manager: Sales Advisor (Sammy, Steve, Sandor, Patrick)
Initial Launch Date: 2024-09-05
Sales/Marketing Company: Breakside

Contact Details
Onboarding Contact: Amy Rebodos

Set-Up Details
Credit Cards? No
Avesdo Deposits? Yes
Project Set-Up: 
Setting up Leads? No
Setting up Worksheets? No
If using Worksheets, when does the client want to start using this feature? 
Setting up Sales Grid? Yes
CRM/Lead Ingestion: I'm not sure
API/Reporting Requirements: Not that I know of

Notes
Other Special Customer-Related Notes: ",,Onboarding Email Sent,Not started,,,109
Lodana - Circadian Group/MLA,Roell Pereira,,,"KNOW YOUR CLIENT (KYC)/WHAT'S IMPORTANT NOW (WIN)

General Project Details
Product Type: Avesdo TMS Platform
Deal Value: $0
Province: British Columbia
# of Homes: 123
Deal Owner: Steve Curtis
Account Manager: Sales Advisor (Sammy, Steve, Sandor, Patrick)
Initial Launch Date: 2023-10-01
Development Proposal Stage: 
Sales/Marketing Company: MLA

Contact Details
Onboarding Contact: Hayley Lilburn
First time using Avesdo? No
Customer Type: Sales/Marketing Company
Is onboarding contact new to Avesdo? No - Existing customer (familiar with full platform)

Set-Up Details
Trust Account Required: No
Selling in phases? No
Unit Breakout: Townhomes and single family
Project Set-Up: Grid view (Townhomes)
Setting up Leads? No
Setting up Worksheets? No
If using Worksheets, when does the client want to start using this feature? N/A
Setting up Sales Grid? No
Setting up Contracts? Yes
Setting up Closings? No
CRM/Lead Ingestion: Hubspot
API/Reporting Requirements: Yes - API2
Related Projects/Relevant Info: 

Client Goals/Other Information
Competitors, CRMs, other software being used? N/A
Why Buy/Challenges we are solving: N/A
What is client's goal from Avesdo? N/A
Why Avesdo? N/A
Red Flags/Risks/Potential Roadblocks: 

Test Site set up during Pre-Sales?:

**CS** - REFER TO HUBSPOT DEAL NOTES FOR SET UP SPECIFICS.

Notes
Other Special Customer-Related Notes: ",,Released,Released,04-Oct-23,,123
Fauna - Fifth Ave | Tangerine,Roell Pereira,,,,,Released,Released,22-Mar-22,,66
MLA Canada & Lexi Development Group | Pacific House,,,,"
Project Revenue: $26,400
Subscription Start Date: 
Subscription Fee: 

KYC Survey:
Initial Launch Date: 2021-07-15
Onboarding Contact: Sarah Rasheed
First time using Avesdo? No
Competitors, CRMs, other software being used? no
Current process outside Avesdo? MLA - Avesdo (developer has no process)
Major problems we're solving? N/A
What does success mean for the client? N/A
Additional comments: ",,Released,Released,09-Sep-21,,66
Rennie - Harriswood,Elton Paul,,,"KNOW YOUR CLIENT (KYC)/WHAT'S IMPORTANT NOW (WIN)

General Project Details
Product Type: Avesdo TMS Platform
Deal Value: 
Province: British Columbia
# of Homes: 59
Deal Owner: Steve Curtis
Account Manager: Sales Advisor (Sammy, Steve, Sandor, Patrick)
Initial Launch Date: 2025-05-15
Sales/Marketing Company: Rennie Marketing

Contact Details
Onboarding Contact: ?
Onboarding Contact Email: 

Set-Up Details
Credit Cards? No
EFT Deposits? Yes
Leads? No
Worksheets? No
If using Worksheets, when does the client want to start using this feature? 
Sales Grid? No
Realtor Portal? No
CRM/Lead Ingestion: Salesforce
API/Reporting Requirements: Yes

Notes
Other Special Customer-Related Notes: ",,Released,Released,30-May-25,,59
Beedie - Koen,Rashi Gupta,,,"KNOW YOUR CLIENT (KYC)/WHAT'S IMPORTANT NOW (WIN)

General Project Details
Product Type: Avesdo TMS Platform
Deal Value: $36,750.00
Province: British Columbia
# of Homes: 147
Deal Owner: Steve Curtis
Account Manager: Sales Advisor (Sammy, Steve, Sandor, Patrick)
Initial Launch Date: 2024-10-04
Sales/Marketing Company: 

Contact Details
Onboarding Contact: Roselyn Mendoza
Onboarding Contact Email: 

Set-Up Details
Credit Cards? No
Avesdo Deposits? TBD
Project Set-Up: 
Setting up Leads? No
Setting up Worksheets? No
If using Worksheets, when does the client want to start using this feature? 
Setting up Sales Grid? Yes
CRM/Lead Ingestion: Lasso I believe
API/Reporting Requirements: None

Notes
Other Special Customer-Related Notes: ",,Released,Released,23-Oct-24,,147
Island Realm Real Estate - Eliza at Royal Bay,Roell Pereira,,,"Product Type: Avesdo TMS Platform
Trust Account Required: No
Deal Value: $45,045
Initial Launch Date: 2022-07-31
Province: British Columbia


KYC Survey:
Deal Owner: Sammy Wong
# of Homes: 117
Initial Launch Date: 2022-07-31
Onboarding Contact: Paul Lin at Island Realm (formerly Condo Group)
First time using Avesdo? Yes
Competitors, CRMs, other software being used? Lasso
Current process outside Avesdo? paper
Major problems we're solving? single platform for Island Realm (part of peerage group)
What does success mean for the client? easy admin 
Additional comments: ",,Released,Released,23-Sep-22,,58
IvyLea | Marlin Spring,,,,,,Released,Released,20-Jan-20,,
Sightline Properties | Key Marketing - Dahlia,,,,"Product Type: Avesdo TMS Platform
Trust Account Required: No
Deal Value: $27,600
Initial Launch Date: 2022-03-19
Province: British Columbia


KYC Survey:
Deal Owner: Steve Curtis
# of Homes: 46
Initial Launch Date: 2022-03-19
Onboarding Contact: Polly Cordwell
First time using Avesdo? No
Competitors, CRMs, other software being used? None
Current process outside Avesdo? Avesdo
Major problems we're solving? None
What does success mean for the client? Smooth set up process
Additional comments: ",,Released,Released,14-Apr-22,,46
IHMG x Liberty Development Group | Joy Station Condos,Roell Pereira,,,"
Project Revenue: $7,500
Subscription Start Date: 
Subscription Fee: 

KYC Survey:
Initial Launch Date: 2021-03-15
Onboarding Contact: Shelly Sou (IHMG)
First time using Avesdo? No
Competitors, CRMs, other software being used? Last project Liberty had an issues with signing documents via Avesdo, they used Docusign for signing only 
Current process outside Avesdo? Avesdo and Docusign 
Major problems we're solving? Reporting, speed on deal closing 
What does success mean for the client? N/A
Additional comments: ",,Released,Released,15-Mar-21,,500
Oracle Group | Canopy Towers Phase 2,Jason Hudym,,,"KNOW YOUR CLIENT (KYC)/WHAT'S IMPORTANT NOW (WIN)

General Project Details
Product Type: Avesdo TMS Platform
Deal Value: $0
Province: Ontario
# of Homes: 550
Deal Owner: Steve Curtis
Account Manager: Sales Advisor (Sammy, Steve, Sandor, Patrick)
Initial Launch Date: 2023-03-30
Development Proposal Stage: 
Sales/Marketing Company: Unknown

Contact Details
Onboarding Contact: Renee Hung and Roman Moroz
First time using Avesdo? Yes
Customer Type: Sales/Marketing Company
Is onboarding contact new to Avesdo? Brand new to Avesdo

Set-Up Details
Trust Account Required: Yes
Selling in phases? They are unsure at this point
Unit Breakout: Hi Rise
Project Set-Up: Grid view (Condo Tower)
Setting up Leads? No
Setting up Worksheets? No
If using Worksheets, when does the client want to start using this feature? N/A
Setting up Sales Grid? Yes
Setting up Contracts? Yes
Setting up Closings? No
CRM/Lead Ingestion: Blackline
API/Reporting Requirements: They will need an API connection to blackline
Related Projects/Relevant Info: VMC will be another project of theirs set to launch shortly after this one.

Client Goals/Other Information
Competitors, CRMs, other software being used? Blackline
Why Buy/Challenges we are solving: N/A
What is client's goal from Avesdo? N/A
Why Avesdo? N/A
Red Flags/Risks/Potential Roadblocks: Client is stressed and nervous (Renee Hung) will need lots of reassurance.

Test Site set up during Pre-Sales?:
No
**CS** - REFER TO HUBSPOT DEAL NOTES FOR SET UP SPECIFICS.

Notes
Other Special Customer-Related Notes: Malinka has agreed to project manage this project and we will be providing on site support at launch. 

Please send on-boarding ASAP, as the client is anxious to get started.",,Released,Released,21-Sep-23,,550
IHMG | Matrix Developments | Westgate on Main,,,,"Product Type: Avesdo TMS Platform
Trust Account Required: 
Deal Value: $18,300
Initial Launch Date: 2021-09-23


KYC Survey:
Deal Owner: Warren Saunders
# of Homes: 108
Initial Launch Date: 2021-09-23
Onboarding Contact: Jimmy Huynh
First time using Avesdo? No
Competitors, CRMs, other software being used? n/a
Current process outside Avesdo? Avesdo Deal Management
Major problems we're solving? Contract writing and reporting
What does success mean for the client? 80% sell on launch weekend
Additional comments: ",,Released,Released,23-Sep-21,,108
Beedie - Encore,Jason Hudym,,,"KNOW YOUR CLIENT (KYC)/WHAT'S IMPORTANT NOW (WIN)

General Project Details
Product Type: Avesdo TMS Platform
Deal Value: $76,500
Province: British Columbia
# of Homes: 306
Deal Owner: Steve Curtis
Account Manager: Sales Advisor (Sammy, Steve, Sandor, Patrick)
Initial Launch Date: 2023-11-15
Development Proposal Stage: 
Sales/Marketing Company: In-House

Contact Details
Onboarding Contact: Roselyn Mendoza
First time using Avesdo? 
Customer Type: Developer
Is onboarding contact new to Avesdo? No - Existing customer (familiar with full platform)

Set-Up Details
Trust Account Required: 
Selling in phases? 
Unit Breakout: 
Project Set-Up: Grid view (Condo Tower)
Setting up Leads? 
Setting up Worksheets? 
If using Worksheets, when does the client want to start using this feature? 
Setting up Sales Grid? 
Setting up Contracts? 
Setting up Closings? 
CRM/Lead Ingestion: 
API/Reporting Requirements: 
Related Projects/Relevant Info: 

Client Goals/Other Information
Competitors, CRMs, other software being used? 
Why Buy/Challenges we are solving: 
What is client's goal from Avesdo? 
Why Avesdo? 
Red Flags/Risks/Potential Roadblocks: 

Test Site set up during Pre-Sales?:

**CS** - REFER TO HUBSPOT DEAL NOTES FOR SET UP SPECIFICS.

Notes
Other Special Customer-Related Notes: ",,Released,Released,10-Nov-23,,306
